No	Name		Year	Country	Score	Lasting
354	淘气大侦探	2018	英国	8.5	 86
355	太空旅客	2017	美国	8.5	 116
356	陆垚知马俐	2016	中国大陆	8.5	 107
357	非常父子档	2016	中国大陆	8.5	 100
358	驴得水	2016	中国大陆	8.5	 111
359	蜡笔小新：梦境世界大突击	2016	日本	8.5	 98
360	巴霍巴利王：开端	2016	印度	8.5	 129
361	阿凡提之奇缘历险	2018	中国大陆	8.5	 85
362	追凶者也	2016	中国大陆	8.5	 110
363	完美陌生人	2018	意大利	8.5	 96
364	第七个小矮人	2018	德国	8.5	 87
365	昆塔：反转星球	2017	中国大陆	8.5	 94
366	帝企鹅日记2：召唤	2018	法国	8.5	 85
367	虎胆追凶	2018	美国	8.5	 97
368	汪星卧底	2018	美国	8.5	 93
369	原谅他77次	2017	中国香港	8.5	 97
370	厕所英雄	2018	印度	8.5	 150
371	生存家族	2018	日本	8.5	 117
372	黄金花	2018	中国大陆	8.5	 91
373	魔弦传说	2017	美国	8.5	 102
374	乐高蝙蝠侠大电影	2017	美国	8.5	 105
375	不惧风暴	2014	美国	8.5	 89
376	我是哪吒	2016	中国大陆	8.5	 83
377	小悟空	2018	中国大陆	8.5	 85
378	喜马拉雅天梯	2015	中国大陆	8.5	 89
379	刺猬小子之天生我刺	2016	中国大陆	8.5	 94
380	金龟子	2018	中国大陆	8.5	 77
381	大卫贝肯之倒霉特工熊	2017	中国大陆	8.5	 86
382	足球王者	2018	中国大陆	8.4	 90
383	潜艇总动员之时光宝盒	2015	中国大陆	8.5	 80
384	超能龙骑侠	2017	中国大陆	8.5	 86
385	托马斯大电影之了不起的比赛	2017	英国	8.5	 81
386	蓝精灵2	2013	美国	8.5	 105
387	火海凌云	2016	俄罗斯	8.5	 138
388	赛尔号大电影4：圣魔之战	2014	中国大陆	8.5	 86
389	奇怪的袜子精灵	2018	捷克	8.5	 86
390	单身日记：好孕来袭	2017	英国	8.5	 118
391	了不起的盖茨比	2013	美国	8.5	 143
392	1980年代的爱情	2015	中国大陆	8.5	 105
393	塔洛	2017	中国大陆	8.5	 120
394	斗龙战士之星印罗盘	2016	中国大陆	8.5	 75
395	魔幻仙踪	2014	中国大陆	8.5	 90
396	内心引力	2017	中国大陆	8.5	 94
397	侏罗纪公园	2013	美国	8.5	 127
398	他们在岛屿写作：寻找背海的人	2013	中国台湾	8.5	 103
399	黑豹	2018	美国	8.4	 135
400	长城	2016	中国大陆	8.4	 104
401	叶问3	2016	中国香港	8.4	 105
402	大鱼海棠	2016	中国大陆	8.4	 105
403	独立日：卷土重来	2016	美国	8.4	 120
404	赏金猎人	2016	韩国	8.4	 105
405	名侦探柯南：零的执行人	2018	日本	8.4	 111
406	哆啦A梦：新·大雄的日本诞生	2016	日本	8.4	 104
407	英伦对决	2017	英国	8.4	 116
408	黄金兄弟	2018	中国大陆	8.4	 100
409	玩命速递：重启之战	2015	法国	8.4	 97
410	功夫瑜伽	2017	中国大陆	8.4	 108
411	镰仓物语	2018	日本	8.4	 120
412	浪矢解忧杂货店	2018	日本	8.4	 129
413	幕后玩家	2018	中国大陆	8.4	 114
414	神奇马戏团之动物饼干	2018	美国	8.4	 94
415	解救吾先生	2015	中国大陆	8.4	 106
416	破·局	2017	中国大陆	8.4	 112
417	女汉子真爱公式	2016	中国大陆	8.4	 93
418	寄生兽	2016	日本	8.4	 125
419	喵星人	2017	中国大陆	8.4	 109
420	脱单告急	2018	中国大陆	8.4	 101
421	博物馆奇妙夜3	2015	美国	8.4	 98
422	冰雪女王3：火与冰	2018	俄罗斯	8.4	 90
423	二次初恋	2017	中国大陆	8.4	 98
424	潜艇总动员：海底两万里	2018	中国大陆	8.4	 75
425	不倒侠	2017	中国台湾	8.4	 90
426	通勤营救	2018	美国	8.4	 104
427	刑警兄弟	2016	中国香港	8.4	 97
428	绑架者	2017	中国大陆	8.4	 95
429	圆梦巨人	2016	美国	8.4	 118
430	深夜食堂2	2017	日本	8.4	 108
431	爱猫之城	2018	土耳其	8.4	 79
432	我在故宫修文物	2016	中国大陆	8.4	 86
